Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot
Nana Mama,Marathi,5.8,2 h 19 mins,2006.0,All,"Nana, a taxi driver unknowingly helps DD, a notorious criminal. In order to return the favour, DD forces him to join his gang, but Mama, a smart police officer ruins his plan."
Hutututu Aavi Ramat Ni Rutu,Gujarati, 7.2,2 h 13 min,2016.0,All,"Hu Tu Tu Tu is based on youth, relationships, ambitions, and the twists of destiny. A tale - never told before."
Uss Din,Hindi,7.4,11min,2010.0,18+,Two neighboring kids try to keep their game of cricket alive while their feuding families stock up on weapons.
Edge of Obedience,English,8.6,51min,2020.0,13+,"One of Malaysia’s foremost artists, Ahmad Zakii Anwar has never been shy of expressing political dissent through his paintings. The film explores the taboos in the countries related to artistic expression as experienced by Anwar."
Kanhaiya Ek Yodha (Hindi),Hindi,4.7,1 h 56 min,2019.0,13+,"Kanhaiya Ek Yodha is a Hindi Dubbed romantic action film. The local toughie is hired as a bodyguard to protect a girl from the rivals of her family and becomes a natural target for her enemies. In the process, he ends up falling in love with her."
Yajamana,Kannada, 6.7,2 h 41 min,2019.0,13+,The film revolves around a hardworking man Krishna who lives in Hulidurga and is famous for traditional oil extraction. He is torn apart from being the rightful owner with the entry of business tycoon Devi Shetty. Will Krishna fight against all odds to bring justice to his people? Who will become the real `Yajamana` is what forms the crux of the story.
Sketch,Telugu,5.7,2 h 13 min,2018.0,13+,"Jeeva alias Sketch (Vikram) is a recovery man who tows back the vehicles whose EMI isn't paid. He falls in love with Ammu (Tamanna Bhatia) who goes against her parents' wish to marry him. Everything seems right when one of after the other, Sketch's friends keep getting killed. How Sketch get to know about what is happening makes the rest of the story."
Toonpur Ka Superrhero,Hindi,4.2,1 h 35 min,2010.0,NR,Toonpur ka Superhero is a comedy kids film directed by Kireet Khurana starring Ajay Devgan and Kajol in the lead roles. Aditya (Ajay Devgan) a film superstar and his wife Priya (Kajol) have achieved all the success that they had dreamt of. Their children would rather have a father who is a 'Real life' hero than a reel life hero. Aditya wants to redeem himself in the eyes of his children when ...
Pinky Mogewali,Punjabi,3.7,2 h 14 mins,2012.0,13+,"After the loss of her mother, Pinky earns for her father's illusive love. She gets herself kidnapped by a gang of crooks, just to get his attention."
Ong-Bak: Muay Thai Warrior,English,7.2,1 h 40 min,2005.0,16+,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it"
Great Sardaar,Punjabi,5.2,1 h 48 mins,2017.0,13+,"Three men rise up to take revenge on the people responsible for murdering the Great Sardar, who was the people's saviour, and leaving their motherly aunt bereft of her husband."
Open Water,English,5.7,1 h 19 min,2004.0,18+,"Dan and Susan are ecstatic to finally be on their much anticipated tropical holiday in the Caribbean. However, after a mistake by their boat staff the pair are left alone in the middle of the ocean, and their ordeal soon becomes a full blown nightmare when sharks start to appear. Inspired by a true story."
Prema Kama,Kannada,5.9,1 h 38 min,1978.0,NR,"Prema Kama is an Indian Kannada film directed and produced by V R K Prasad. The film stars Devadas, Chayapathi, Rekha Rao, G V Iyer and Jyothsna Rao in the lead roles. Music of the film was composed by Yoganarasimha"
Jhankaar Beats,Hindi,7.2,2 h 11 min,2003.0,18+,"Juggling personal predicaments and workplace woes, three buddies and band-mates practice for their ultimate dream: winning a coveted music competition."
Law Abiding Citizen,Tamil,7.4,1 h 44 min,2009.0,18+,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.
48 Hrs.,English,6.9,1 h 36 min,1982.0,18+,"Nolte is a roughedged cop after two vicious cop-killers. He can’t do it without the help of smooth Murphy, who is serving time for a half-million dollar robbery."
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2 h 34 min,2018.0,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.
Stronger (2017),English,6.9,1 h 59 min,2017.0,18+,Jake Gyllenhaal stars in the inspiring true story of the real life 2013 Boston Marathon bombing survivor Jeff Bauman.
Teen Cup Chaa,Bengali,5.7,47min,2018.0,13+,"Three different stories blended in a single movie, are brewed and connected by the exemplary Bengali beverage, Chaa."
Ramgarh Ke Sholay,Hindi,4.8,2 h 4 min,1991.0,All,"Ramgarh Ke Sholay Is Action Comedy Hindi Movie, Directed By Ajit Dewani, Starring Amjad Khan, Johnny Lever, Kishore Bhanushali And Vijay Saxena In The Lead Roles. The Film Parodies The Classic Bollywood Blockbuster Sholay. Chaos Ensues After Impostors Of Prominent Actors Turn Up To Save Jaiwanti And Other Villagers From The Terror Of Gabbar And His Henchmen Lamba And Goriya."
Parampara,Hindi,5.7,2 h 28 min,1993.0,13+,"Friends Pratap and Ranvir eventually discover that there is an old score to be settled between their families. Unfortunately, this can only be settled when they face each other in a deadly duel."
Manmatha Raja,Kannada,5.1,2 h 9 min,1989.0,NR,"Manmatha Raja is a 1989 Indian Kannada film, directed by Om Saiprakash and produced by J Devadas Reddy. The film stars Kashinath, Sudharani, Jaggesh, Omganesh, Srinivasamurthy, Lohithashwa, Mysore Lokesh, Aravind, Sadashiva Brahmavar and Dingri Nagaraj in lead roles. The film had musical score Chakravarthy."
Dash Mash Dash Diner Galpo,Bengali,5.7,1 h 54 min,2019.0,All,"The Last Refuge For Elderly Parents Abandoned By Their Children, Apanjan Is An Old Age Home. The Film Revolves Around The Lives Of Apanjans Inhabitants, And How Karma Finds Its Way To Teach Their Ungrateful Children An Important Life Lesson."
Bodhai Yeri Budhi Maari,Tamil,6.4,1 h 57 min,2019.0,13+,"Karthik is jubilant, as he is getting ready to marry his lady love. At his bachelor's party, he takes a drug, which is very powerful than cocaine. After that, there happened a big twist in his life. Meanwhile, a journalist is looking for the drug addicts to get an interesting article and at the same time, a corrupt cop searches for the drug peddlers. Whether he rescue or not in rest of the film."
Pagadi Aattam,Tamil,5.7,2 h 2 min,2017.0,All,"Suriya is a spoiled brat who deceives girls in the name of romance. Kousalya is one of the victim who falls into his trap. One day, Suriya gets kidnapped and finds himself trapped in a wooden box akin to a coffin. Following Suriya's parents complaint, ACP Devendra Kumar (Rahman) takes up the case. What happens in course of investigation forms the rest of the story."
World War Z,Hindi,7,1 h 56 min,2013.0,13+,"World War Z is the fast-paced, pulse-pounding epic of the potential last days of the human race. Former United Nations employee Gerry Lane (Brad Pitt) is called in to help stop the pandemic that has spread around the world."
Joy of Data,English,6.9,59min,2016.0,13+,"This mind-expanding, high-tech documentary, hosted by mathematician Dr. Hannah Fry, reveals what data is and how it is captured, stored, shared, and analyzed. Fry tells the story of the engineers of the data age, people most of us have never heard of despite creating a technological and philosophical revolution. Modern society runs on data, making information the world's most valuable asset."
Faasle,Hindi,4.6,2 h 26 min,1985.0,16+,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni’s life - her father’s disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.
Vasudev Balwant Phadke,Marathi,6.5,2 h 6 mins,2007.0,All,Vasudev Balwant Phadke's sacrifice rekindled the dying flames of the 1857 Uprising and he came to be worshipped as the foremost revolutionary of the nation. Watch the movie to find out how he fought against all odds.
Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1 h 59 min,1985.0,All,Two sons and their families get together to celebrate their mother's 60th birthday in their ancestral house. But problems develop when the younger son reveals his plan to sell the house for money and put the mother in an old age home.
Greenfingers,English,6.8,1 h 31 min,2001.0,18+,"Inmate Colin Briggs (Clive Owen) is introduced to gardening and when the thriving prison garden attracts the attention of flamboyant gardening expert, Georgina Woodhouse (Helen Mirren), she offers to sponsor the inmates in an upcoming flower show. At the Hampton Court Flower Show, Colin meets Georgina's daughter and a romance blooms."
Vitamin She,Gujarati, 5.7,2 h 17 min,2017.0,13+,"Jigar is a very happy go lucky freedom lover guy. He has a little fear about love from his childhood. His friends convince him that he needs a girl (Vitamin She) in his life to make his life worth living. One day Jigar accidently meets Shruti and falls for her. After some time they both become lovers. Everything is glossy and colorful in their life. But after some months, their illusion breaks."
Chaduranga,Kannada,6.1,2 h 18 min,1985.0,NR,"Chaduranga is a 1985 Indian Kannada film, directed by V Somashekar and produced by R Venkataraman. The film stars Ambarish, Ambika, Vajramani and Mukyamanthri Chandru in lead roles. Music of the film was composed by G K Venkatesh."
Mugavaree,Tamil,7.2,2 h 36 min,2000.0,All,"Sridhar (Ajith), an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success."
Qatil,Hindi,6,2 h 20 min,1988.0,13+,"Kumar's father is a public prosecutor and a strong advocate of the death penalty. Kumar, who opposes his father's views, decides to teach his father a lesson by implicating himself in a murder case."
Noor Jahan,Bengali,5.3,2 h 22 min,2018.0,13+,A Bengali romantic film about the love story of Noor and Jahan that gets threatened by the brutality of politics.
Aftermath,English,5.7,1 h 33 min,2017.0,16+,"Roman, a construction foreman, loses his wife and daughter in a devastating plane crash. He blames the air traffic controller, Jake Bonanos, who also struggles with the guilt of his mistake."
Ranjha Refugee,Punjabi,5.5,2 h 2 mins,2018.0,All,"While a Punjabi man fights for the love of his life, he ends up learning about his long-lost brother who was raised by a Muslim family."
Jab Tak Hai Jaan,Hindi,6.7,2 h 56 min,2012.0,13+,"Samar (Shah Rukh Khan) meets Meera (Katrina Kaif) in London & they fall in love. Samar however meets with a serious accident & Meera vows to God to leave Samar, if He allowed him to live. Samar angered with God, becomes a bomb disposal chief in the Indian Army. Here he meets Akira (Anushka Sharma). Is Akira able to unravel the mysteries, does Samar win the battle, or does God surrender to his love?"
Partner,Hindi,5.7,2 h 22 min,2007.0,NR,"Prem likes to think that he knows all that there is to know about women. Growing up with six sisters made him more sensitive to the female psyche, and he's turned that skill into a successful career of helping other men in wooing the women of their dreams. One of his newest clients is Bhaskar, who has fallen in love with his wealthy boss, Priya. While helping Bhaskar, Prem develops feelings ..."
Daphne,English,6.1,1 h 27 min,2017.0,18+,'Daphne' is the vibrant character portrait of a young woman on the threshold of a much-needed change.
Urumbukal Urangarilla,Malayalam,6.4,2 h 13 min,2015.0,13+,"A young man named Manoj approaches two thieves Kelu and Benny, to learn from them the art of theft. One day Manoj is caught and put in jail, where he reveals his true motives."
Jayasimha,Kannada,7.1,2 h 21 min,1987.0,NR,"Jayasimha is a 1987 Indian Kannada film, directed by P. Vasu and produced by K C N Chandrashekhar and K C N Mohan. The film stars Vishnuvardhan, Mahalakshmi, Vajramuni and N S Rao in lead roles. Music of the film was composed by Vijay Anand."
Despicable Me,Hindi,7.6,1 h 34 min,2010.0,7+,"Vying to be ""World's Greatest Villain"", Gru and his crew of hilarious minions plot the crime of the century: steal the moon -- but he meets his match when three little girls steal his heart."
Mud,English,7.4,2 h 10 min,2012.0,16+,"Ellis and his friend Neckbone are two boys who meet Mud, a fugitive hiding out on an island in the Mississippi. Skeptical but intrigued by his fantastic scenarios, Ellis and Neckbone agree to help him. It isn’t long until Mud’s visions come true and their small town is besieged by bounty hunters."
Mere Yaar Ki Shaadi Hai,Hindi,5.3,2 h 39 min,2002.0,All,"Sanjay's (Uday Chopra) phone rings. Anjali (Sanjana) his childhood friend is getting married. Observing Sanjay’s reaction to this news, his flatmate Ria (Bipasha Basu) concludes that Sanjay is in love with her. Sanjay sets off on a noble mission - to break the wedding. He meets the groom to be Rohit (Jimmy Shergill) and sets off on his crusade of poisoning the family’s mind against Rohit."
Homefront,English,6.5,1 h 36 min,2013.0,18+,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
Gladiator,English,8.5,2 h 34 min,2000.0,18+,"When a Roman general (Russell Crowe) is betrayed and his family murdered by a corrupt prince, he comes to Rome as a gladiator to seek revenge."
De Dana Dan,Hindi,5.4,2 h 47 min,2009.0,NR,"Apart from love, Nitin and Ram everything else in their lives have zero luck, including their bank balance! But now their rich girlfriends, Anjali and Manpreet, demand that they earn enough money so that they could either elope or break up forever. Broke and desperate, Nitin and Ram need to make big money and fast! They come up with a masterplan to kidnap Moolchandji, the pet dog of a rich s ..."
Rockstar,Hindi,7.7,2 h 37 min,2011.0,NR,Rockstar is a Hindi romantic drama movie on a typical Delhi boy Janardhan (Ranbir Kapoor) who chases his dream to be a Rockstar. He falls in love with the most popular girl Heer (Nargis Fakhri) in Delhi University but it doesn't go so smoothly. Watch Rockstar to witness the journey of Janardhan from a heart broken boy to a popular Rockstar sensation who expresses his tragedy through his songs.
The Pursuit of Happyness,English,8,1 h 57 min,2006.0,All,"Will Smith stars in this moving tale inspired by the true story of Chris Gardner, a San Francisco salesman struggling to build a future for himself and his 5-year-old son Christopher (Jaden Smith)."
Baba Taraknath,Bengali,5.5,2 h 30 min,1977.0,All,"A complete mythological story based on a simple village life. Sudha a simple girl likes her childhood friend Amar, but they are from different economical background. Amar a rich boy fall in love with Sudha and after their marriage Amar died in an accident. The faith on Baba Taraknath helped Sudha to regain her husband from all obstacles."
Rajlakshmi O Srikanta,Bengali,6.2,2 h 12 min,2017.0,13+,"A Bengali film about Srikanta crossing paths with Pyaribai and discovers that she is his childhood love, Rajlakshmi."
Surya IPS,Telugu,6.9,2 h 23 min,1991.0,NR,"Surya IPS is a 1991 Indian Telugu film, directed by A. Kodandarami Reddy and produced by T. Subbarami Reddy. The film stars Venkatesh and Vijayashanti in lead roles. Music of the film was composed by Ilaiyaraaja."
Dil Jo Na Keh Saka,Hindi,5.4,2 h 5 min,2017.0,13+,"Dil Jo Na Keh Saka is a romantic drama that follows the story of two childhood friends, Jay and Siya, who end up going separate ways to follow their dreams. Eventually, they return to their hometown where they chance upon each other and soon discover that there is more to their relationship than just friendship."
Gatham (Kannada),Kannada, 6.1,1 h 41 min,2020.0,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham."
Dirty Dancing,English,7,1 h 40 min,1987.0,13+,Patrick Swayze and Jennifer Grey star in this spirit-lifting story about a summer love affair between a naïve 17-year-old girl and a charismatic dance instructor at a Catskills hotel.
Gatham (Malayalam),Malayalam,6.1,1 h 41 min,2020.0,18+,"Rishi and his girlfriend Adithi are on their way to visit Rishi's father and their car breaks down. A stranger offers them a stay at his house and as their stay extends, there are startling twists. What is Rishi's connection with the stranger, and how does he and his girlfriend come out of the weird situation is the story of Gatham."
Ishhya,Marathi,5.5,1 h 59 mins,2006.0,All,"Vaibhav and Rasika, a happily married couple, get along despite their opposite natures. Their only conflict arises when Vaibhav wants children and Rasika refuses to get pregnant and ruin her figure. What follows is an unexpected turn of events!"
Universal Soldier: Day of Reckoning,Telugu,5,1 h 45 min,2012.0,18+,"John awakens from a coma to discover his wife and daughter were slaughtered in a brutal home invasion. Haunted by images of the attack, he vows to kill the man responsible: The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit."
Manikarnika: The Queen of Jhansi,Tamil,6.4,2 h 20 min,2019.0,16+,Manikarnika – Queen of Jhansi or well known as Lakshmi Bai of Jhansi is her real live story. She was the first woman in history to fight against the British in the cry of Independence.
Rowdy Baadshah,Hindi,6.4,2 h 10 min,2014.0,13+,Sadhu Bhai is a notorious mafia leader who escaped India after various terrorist attacks and conquered the entire Southeast Asia. Baadshah enters the underworld for his father. Sadhu Bhai's partner Crazy Robert captures Baadshah and his father as Baadshah revolts against Sadhu Bhai. But Baadshah easily defeats Crazy Robert.
Dare,Telugu,5.8,2 h 25 min,2011.0,NR,"Dare is a 2011 Indian Telugu film, directed by Ram and produced by G Murali. The film stars Jeeva, Anjali and Karunas in lead roles. The film had musical score by Yuvan Shankar Raja."
Sugar Salt Ani Prem,Marathi,6.2,2 h 5 mins,2015.0,All,"Salt Sugar Ani Prem is a story of three women Aditi, Soumya, and Ananya  who are also struggling in their respective lives. It so happens that these three women happen to cross paths. The story then develops their relationship and how their friendship gels with sugar, salt and love."
Evil Eye,English,4.7,1 h 29 min,2020.0,16+,Welcome to the Blumhouse! A superstitious mother is convinced that her daughter’s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago.
Swarg,Hindi,6.7,2 h 31 min,1990.0,All,"Swarg Is A Bollywood Hindi Family Drama Film, Directed By David Dhawan, Starring Rajesh Khanna, Govinda And Juhi Chawla In The Lead Roles. Krishna Worships His Master, Sahabji, But Circumstances Lead To His Ouster From The House. He Works Hard, Becomes A Powerful Man And Returns To Restore His Master's Honour."
Poojaikku Vantha Malar,Tamil,7.5,2 h 41 min,1965.0,NR,"Suresh and Ravi are intimate friends, who study in the same college. But their friendship runs into trouble when both happen to work for the same company with different grades."
Nayakan,Tamil,8.6,2 h 36 min,1987.0,18+,"When a small boy sees his father killed in cold blood by a policeman, he kills the policeman and runs away to Bombay. Eventually, how a small boy becomes a Mumbai Don.The film is a life travel of a Mumbai Don."
Twister,Hindi,6.4,1 h 53 min,1996.0,13+,State-of-the-art special effects stir up this tale of tornado chasers on a perilous quest to test a new sensor device.
Bal Ganesh 3 (Tamil),Tamil,5.2,1 h 8 min,2015.0,7+,"In the third instalment of this popular Indian animated film franchise, we see the elephant-headed Hindu lord Bal Ganesh being adored not just by humans but also by alien kids from a planet named Zeba."
Goonda,Telugu,7,2 h 17 min,1984.0,NR,"Ravi (Chiranjeevi) is the son of a sincere Police officer (Satyanarayana). Ravi accidentally hurts his neighbour's eyes and become responsible for his blindness. Fearing that his father would scold him, he runs away from home and is brought up by a don in Calcutta, who names him Kalidas. The don dies in an encounter and Kali is asked to leave the world of crime and become a good citizen. Kal ..."
LOL,English,4.4,1 h 32 min,2012.0,16+,"Lola and her friends navigate the peer pressures of high school romance and friendship while dodging their sometimes overbearing and confused parents. When Lola's mom, Anne, ""accidentally"" reads her teenage daughter's racy journal, she realizes just how wide their communication gap has grown. Through hilarious and heartfelt moments between mother and daughter."
Robin Hood,English,6.6,2 h 20 min,2010.0,13+,"The untold story of the man behind the legend. A thrilling action adventure with Academy Award® winner Russell Crowe and director Ridley Scott at ""their most entertaining since Gladiator."""
Mardaani,Hindi,7.3,1 h 53 min,2014.0,18+,"India is the world's hub for child sex trafficking. Shivani Shivaji Roy, Senior Inspector, Crime Branch, Mumbai Police, sets out to confront the mastermind behind a child trafficking mafia, who makes the mistake of kidnapping and smuggling a teenage girl, Pyari. What follows is a cat and mouse game between a fearless cop and a young and ruthless mafia kingpin in a war which is very personal."
Autograph,Bengali,7.4,2 h 12 min,2017.0,13+,"Film maker Shuvabrata wants to cast superstar Arun Chatterjee in his debut film. As the camera starts rolling, real meets reel."
The Cabin Guard,Bengali,4.9,1 h 25 min,2019.0,13+,This Bengali film that describes the journey of a man - from anger to murders. Where will the bloody journey end?
The Forgotten Genocide: Europe's Gypsies in World War II,English,8.2,1 h 15 min,2020.0,13+,"Far from the stereotype of uncivilized nomads, the Gypsies are a vibrant community whose way of life influenced high fashion and art and gave the world artists like Chaplin and Picasso. What is even lesser known is the shocking truth of the Gypsy Genocide in World War 2. Branded as anti-social, sent to Nazi camps and massacred in millions, survivors reveal the chilling details of the bloody event."
HAK_MTL,English,6.1,1 h 7 min,2020.0,13+,"The Big Brother is indeed watching us all. With information from our phones, laptops even from street-side CCTVs being pulled in by government and corporates, the concept of right to privacy is long gone. Watch this film which shows a group of hackers who are building technology to protect our data and our rights."
The Lego Movie,English,7.7,1 h 40 min,2014.0,All,"The LEGO movie follows Emmet, who is on an epic quest to stop an evil tyrant from gluing the universe together, a journey for which he is hopelessly and hilariously underprepared."
Zoo Laka Taka,Telugu,6,1 h 36 min,1989.0,NR,"Zoo Laka Taka is a 1989 Indian Telugu film, directed by Vijaya Bapineedu and produced by Gutta Madhusudana Rao. The film stars Rajendra Prasad, Chandra Mohan, Tulasi and Kalpana in lead roles. Music of the film was composed by Vasu Rao."
London Has Fallen,Hindi,5.9,1 h 34 min,2016.0,18+,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders."
Summer in Bethlehem,Malayalam,7.8,2 h 34 min,1998.0,All,"Ravishankar pretends to own the farmhouse of his friend Dennis when his relative, Col. Menon, pays a visit along with his granddaughters. Dennis and Ravishankar try to find Ravishankar's secret admirer among the girls."
Michael,Bengali,5.7,2 h 13 min,2018.0,13+,"Michael and Mayurbahan both want to make a mark on the silver screen, in their own ways. Will they realise their dreams?"
Quick,English,5.8,1 h 47 min,2011.0,16+,A famous biker named Gi-su (Lee Min-ki) has to deliver a bomb on his helmet under 30 minutes with his new girlfriend Ah-rom (Kang Ye-won) before it explodes.
Hey Ram,Hindi,7.9,3 h 19 min,2000.0,NR,"A period drama told in flashback, the semi-fictional plot centers around India's Partition and the assassination of Mahatma Gandhi."
Karpagam,Tamil,7.4,2 h 49 min,1963.0,All,"Gemini Ganesan is a benevolent small time farmer and he marries K.R.Vijaya. Muthuraman and K.R.Vijaya are the children of S.V.Ranga Rao, a rich landlord. Muthuraman loves and marries Sheela, the daughter of greedy M.R.Radha. Estranged son Muthuraman, along with M.R.Radha conspire to swindle Ranga Rao's property. Whether the ploy succeeds and the kid joins her foster parent is the climax."
Vellinakshatram,Malayalam,4.8,2 h 36 min,2004.0,All,"Vinodis in love with Aswathy a member of Lakshmipuram royal family, which has a lot of dark secrets.Just before the birth of their child, Vinod and Aswathy make up with the royal family . Later a child is born to them and Aswathy dies mysteriously during the delivery.  The baby is looked after by the members of the family who start thinking that the little girl is possessed."
Jeevan Ek Sanghursh,Hindi,4.9,2 h 39 min,1990.0,All,"Karan, a thief, works for Dr. Devraj to help keep the evil don Rattan from taking over the city. His life changes when he finds his family that had disowned him when he was a child."
Vaagai Sooda Vaa,Tamil,8,2 h 5 min,2011.0,All,"Vaagai Sooda Vaa is a 2011 Tamil-language romance film directed by A. Sarkunam,directing his second film after Kalavani.It features Vimal and Iniya in the lead roles, with Bhagyaraj,and Thambi Ramaiah .The film is a period piece set in the 1960s in a remote village in Tamil Nadu. Subsequently, the film was honored with the National Film Award for Best Feature Film in Tamil for 2012."
Bal Ganesh (Gujarati),Gujarati, 6.9,1 h 42 min,2007.0,All,"Bal Ganesh is the story of the elephant-headed God Lord Ganesh's childhood. The story centres around the exploits of Lord Ganesh, his companion Mooshak, the mouse and their innumerable adventures. From the birth of Lord Ganesh to the depiction of Ganesh's voracious appetite at Kuber's feast, many mythological events from his childhood have been presented in the film."
Honeymoon Travels Pvt Ltd,Hindi,6.1,1 h 59 min,2007.0,13+,"The honeymoon trip covers many aspects of life around the lives of six very different married couples travelling together in a bus. The movie brings the lives of each couple closer depicting how each of them deals with their problems differently. The story is filled with real life incidents, comedy and many more hidden secrets, making for an entertaining drama and a must watch!"
Dishoom,Hindi,5.1,2 h 1 min,2016.0,NR,"Grip your seats as Dishoom is all set to take you on an action-packed ride of entertainment! Two days before the big clash between India and Pakistan, top cricketer Viraj Sharma goes missing. With only 36 hours left to find him, the Emirates Police Department hires an Indian officer, Kabir Shergill, to solve the case, who's later joined by a rookie cop, Junaid Ansari, as he has a good knowle ..."
Sharkwater Extinction,English,7.7,1 h 24 min,2019.0,16+,"Sharkwater Extinction is a thrilling, action adventure journey that follows filmmaker Rob Stewart as he exposes the billion dollar illegal shark fin industry and the political corruption behind it."
Generation Wealth,English,6.7,1 h 46 min,2018.0,18+,"Lauren Greenfield’s postcard from the edge of the American Empire captures a portrait of a materialistic, image-obsessed culture. Simultaneously personal journey and historical essay, the film bears witness to the global boom–bust economy, the corrupted American Dream, and the human costs of late stage capitalism, narcissism, and greed."
